#Energy	dxy	dyz	dz2	dxz	dx2
-21.23393	0	-1E-5	0	-1E-5	0
-21.22293	0	0	0	0	0
-21.21193	0	0	0	0	0
-21.20093	0	0	0	0	0
-21.19093	0	0	0	0	0
-21.17993	0	0	0	0	0
-21.16893	0	0	0	0	0
-21.15793	0	0	0	0	0
-21.14793	0	0	0	0	0
-21.13693	0	0	0	0	0
-21.12593	0	0	0	0	0
-21.11493	0	0	0	0	0
-21.10393	0	0	0	0	0
-21.09393	0	0	0	0	0
-21.08293	0	0	0	0	0
-21.07193	0	0	0	0	0
-21.06093	0	0	0	0	0
-21.04993	0	0	0	0	0
-21.03993	0	0	0	0	0
-21.02893	0	0	0	0	0
-21.01793	0	0	0	0	0
-21.00693	0	0	0	0	0
-20.99593	0	0	0	0	0
-20.98593	0	0	0	0	0
-20.97493	0	0	0	0	0
-20.96393	0	0	0	0	0
-20.95293	0	0	0	0	0
-20.94293	0	0	0	0	0
-20.93193	0	0	0	0	0
-20.92093	0	0	0	0	0
-20.90993	0	0	0	0	0
-20.89893	0	0	0	0	0
-20.88893	0	0	0	0	0
-20.87793	0	0	0	0	0
-20.86693	0	0	0	0	0
-20.85593	0	0	0	0	0
-20.84493	0	0	0	0	0
-20.83493	0	0	0	0	0
-20.82393	0	0	0	0	0
-20.81293	0	0	0	0	0
-20.80193	0	0	0	0	0
-20.79093	0	0	0	0	0
-20.78093	0	0	0	0	0
-20.76993	0	0	0	0	0
-20.75893	0	0	0	0	0
-20.74793	0	0	0	0	0
-20.73793	0	0	0	0	0
-20.72693	0	0	0	0	0
-20.71593	0	0	0	0	0
-20.70493	0	0	0	0	0
-20.69393	0	0	0	0	0
-20.68393	0	0	0	0	0
-20.67293	0	0	0	0	-1E-5
-20.66193	-1E-5	0	0	0	-2E-5
-20.65093	-3E-5	0	0	0	-6E-5
-20.63993	-9E-5	0	0	0	-1.8E-4
-20.62993	-2.4E-4	0	0	0	-4.6E-4
-20.61893	-5.6E-4	0	0	0	-0.00107
-20.60793	-0.0012	0	0	0	-0.00229
-20.59693	-0.00233	0	0	0	-0.00444
-20.58593	-0.00413	0	0	0	-0.00785
-20.57593	-0.00667	0	0	0	-0.01268
-20.56493	-0.00981	0	0	0	-0.01865
-20.55393	-0.01316	0	0	0	-0.02502
-20.54293	-0.0161	0	0	0	-0.03061
-20.53293	-0.01795	0	0	0	-0.03414
-20.52193	-0.01826	0	0	0	-0.03471
-20.51093	-0.01692	0	0	0	-0.03218
-20.49993	-0.0143	0	0	0	-0.0272
-20.48893	-0.01102	0	0	0	-0.02096
-20.47893	-0.00775	0	0	0	-0.01473
-20.46793	-0.00496	0	0	0	-0.00943
-20.45693	-0.0029	0	0	0	-0.00551
-20.44593	-0.00154	0	0	0	-0.00293
-20.43493	-7.5E-4	0	0	0	-0.00142
-20.42493	-3.3E-4	0	0	0	-6.3E-4
-20.41393	-1.3E-4	0	0	0	-2.5E-4
-20.40293	-5E-5	0	0	0	-9E-5
-20.39193	-2E-5	0	0	0	-3E-5
-20.38093	-1E-5	0	0	0	-1E-5
-20.37093	0	0	0	0	0
-20.35993	0	0	0	0	0
-20.34893	0	0	0	0	0
-20.33793	0	0	0	0	0
-20.32793	0	0	0	0	0
-20.31693	0	0	0	0	0
-20.30593	-1E-5	0	0	0	0
-20.29493	-2E-5	0	0	0	-1E-5
-20.28393	-4E-5	0	0	0	-2E-5
-20.27393	-9E-5	0	0	0	-4E-5
-20.26293	-1.9E-4	0	0	0	-8E-5
-20.25193	-3.7E-4	0	0	0	-1.5E-4
-20.24093	-6.4E-4	0	0	0	-2.7E-4
-20.22993	-0.00102	0	0	0	-4.3E-4
-20.21993	-0.00148	0	0	0	-6.2E-4
-20.20893	-0.00195	0	0	0	-8.2E-4
-20.19793	-0.00235	0	0	0	-9.9E-4
-20.18693	-0.00259	0	0	0	-0.00109
-20.17593	-0.00259	0	0	0	-0.00109
-20.16593	-0.00237	0	0	0	-9.9E-4
-20.15493	-0.00197	0	0	0	-8.3E-4
-20.14393	-0.0015	0	0	0	-6.3E-4
-20.13293	-0.00104	0	0	0	-4.4E-4
-20.12293	-6.6E-4	0	0	0	-2.7E-4
-20.11193	-3.8E-4	0	0	0	-1.6E-4
-20.10093	-2E-4	0	0	0	-8E-5
-20.08993	-9E-5	0	0	0	-4E-5
-20.07893	-4E-5	0	0	0	-2E-5
-20.06893	-2E-5	0	0	0	-1E-5
-20.05793	-1E-5	0	0	0	0
-20.04693	0	0	0	0	0
-20.03593	0	0	0	0	0
-20.02493	0	0	0	0	0
-20.01493	0	0	0	0	0
-20.00393	0	0	0	0	0
-19.99293	0	0	0	0	0
-19.98193	0	0	0	0	0
-19.97093	0	0	0	0	0
-19.96093	0	0	0	0	0
-19.94993	0	0	0	0	0
-19.93893	0	0	0	0	0
-19.92793	0	0	0	0	0
-19.91793	0	0	0	0	0
-19.90693	0	0	0	0	0
-19.89593	0	0	0	0	0
-19.88493	0	0	0	0	0
-19.87393	0	0	0	0	0
-19.86393	0	0	0	0	0
-19.85293	0	0	0	0	0
-19.84193	0	0	0	0	0
-19.83093	0	0	0	0	0
-19.81993	0	0	0	0	0
-19.80993	0	0	0	0	0
-19.79893	0	0	0	0	0
-19.78793	0	0	0	0	0
-19.77693	0	0	0	0	0
-19.76593	0	0	0	0	0
-19.75593	0	0	0	0	0
-19.74493	0	0	0	0	0
-19.73393	0	0	0	0	0
-19.72293	0	0	0	0	0
-19.71293	0	0	0	0	0
-19.70193	0	0	0	0	0
-19.69093	0	0	0	0	0
-19.67993	0	0	0	0	0
-19.66893	0	0	0	0	0
-19.65893	0	0	0	0	0
-19.64793	0	0	0	0	0
-19.63693	0	0	0	0	0
-19.62593	0	0	0	0	0
-19.61493	0	0	0	0	0
-19.60493	0	0	0	0	0
-19.59393	0	0	0	0	0
-19.58293	0	0	0	0	0
-19.57193	0	0	0	0	0
-19.56093	0	0	0	0	0
-19.55093	0	0	0	0	0
-19.53993	0	0	0	0	0
-19.52893	0	0	0	0	0
-19.51793	0	0	0	0	0
-19.50793	0	0	0	0	0
-19.49693	0	0	0	0	0
-19.48593	0	0	0	0	0
-19.47493	0	0	0	0	0
-19.46393	0	0	0	0	0
-19.45393	0	0	0	0	0
-19.44293	0	0	0	0	0
-19.43193	0	0	0	0	0
-19.42093	0	0	0	0	0
-19.40993	0	0	0	0	0
