#Energy	pz
-19.42093	0
-19.40993	0
-19.39993	0
-19.38893	0
-19.37793	0
-19.36693	0
-19.35593	0
-19.34593	0
-19.33493	0
-19.32393	0
-19.31293	0
-19.30293	0
-19.29193	0
-19.28093	0
-19.26993	0
-19.25893	0
-19.24893	0
-19.23793	0
-19.22693	0
-19.21593	0
-19.20493	0
-19.19493	0
-19.18393	0
-19.17293	0
-19.16193	-1E-5
-19.15093	-2E-5
-19.14093	-3E-5
-19.12993	-7E-5
-19.11893	-1.2E-4
-19.10793	-2.1E-4
-19.09793	-3.2E-4
-19.08693	-4.4E-4
-19.07593	-5.6E-4
-19.06493	-6.4E-4
-19.05393	-6.8E-4
-19.04393	-6.5E-4
-19.03293	-5.7E-4
-19.02193	-4.6E-4
-19.01093	-3.3E-4
-18.99993	-2.2E-4
-18.98993	-1.3E-4
-18.97893	-7E-5
-18.96793	-4E-5
-18.95693	-2E-5
-18.94593	-1E-5
-18.93593	-1E-5
-18.92493	-1E-5
-18.91393	-1E-5
-18.90293	-1E-5
-18.89293	-1E-5
-18.88193	-1E-5
-18.87093	-1E-5
-18.85993	-1E-5
-18.84893	-1E-5
-18.83893	-1E-5
-18.82793	-1E-5
-18.81693	-1E-5
-18.80593	-2E-5
-18.79493	-2E-5
-18.78493	-3E-5
-18.77393	-4E-5
-18.76293	-6E-5
-18.75193	-6E-5
-18.74093	-7E-5
-18.73093	-7E-5
-18.71993	-6E-5
-18.70893	-5E-5
-18.69793	-5E-5
-18.68793	-4E-5
-18.67693	-5E-5
-18.66593	-6E-5
-18.65493	-7E-5
-18.64393	-8E-5
-18.63393	-9E-5
-18.62293	-9E-5
-18.61193	-8E-5
-18.60093	-7E-5
-18.58993	-5E-5
-18.57993	-4E-5
-18.56893	-2E-5
-18.55793	-1E-5
-18.54693	-1E-5
-18.53693	0
-18.52593	0
-18.51493	0
-18.50393	0
-18.49293	-1E-5
-18.48293	-1E-5
-18.47193	-2E-5
-18.46093	-3E-5
-18.44993	-3E-5
-18.43893	-4E-5
-18.42893	-5E-5
-18.41793	-5E-5
-18.40693	-6E-5
-18.39593	-7E-5
-18.38493	-9E-5
-18.37493	-1.2E-4
-18.36393	-1.5E-4
-18.35293	-1.8E-4
-18.34193	-2.1E-4
-18.33193	-2.5E-4
-18.32093	-2.8E-4
-18.30993	-3.2E-4
-18.29893	-3.3E-4
-18.28793	-3.4E-4
-18.27793	-3.1E-4
-18.26693	-2.7E-4
-18.25593	-2.2E-4
-18.24493	-1.6E-4
-18.23393	-1.1E-4
-18.22393	-7E-5
-18.21293	-5E-5
-18.20193	-4E-5
-18.19093	-3E-5
-18.17993	-3E-5
-18.16993	-3E-5
-18.15893	-3E-5
-18.14793	-2E-5
-18.13693	-2E-5
-18.12693	-2E-5
-18.11593	-2E-5
-18.10493	-2E-5
-18.09393	-3E-5
-18.08293	-4E-5
-18.07293	-5E-5
-18.06193	-7E-5
-18.05093	-1E-4
-18.03993	-1.4E-4
-18.02893	-2.1E-4
-18.01893	-3.4E-4
-18.00793	-5.8E-4
-17.99693	-9.8E-4
-17.98593	-0.00161
-17.97493	-0.00251
-17.96493	-0.00365
-17.95393	-0.00494
-17.94293	-0.00621
-17.93193	-0.00724
-17.92193	-0.00784
-17.91093	-0.0079
-17.89993	-0.00743
-17.88893	-0.00657
-17.87793	-0.0055
-17.86793	-0.00443
-17.85693	-0.00349
-17.84593	-0.00274
-17.83493	-0.00218
-17.82393	-0.00174
-17.81393	-0.00138
-17.80293	-0.00108
-17.79193	-8.4E-4
-17.78093	-6.7E-4
-17.76993	-5.8E-4
-17.75993	-5.9E-4
-17.74893	-6.6E-4
-17.73793	-7.9E-4
-17.72693	-9.5E-4
-17.71693	-0.00109
-17.70593	-0.0012
-17.69493	-0.00124
-17.68393	-0.00121
-17.67293	-0.00112
-17.66293	-9.9E-4
-17.65193	-8.4E-4
-17.64093	-7E-4
-17.62993	-5.9E-4
-17.61893	-5.1E-4
-17.60893	-4.7E-4
-17.59793	-4.6E-4
